"true_class","pred_class","fraction","true_class_name","pred_class_name"
"0","0",0.939163498098859,"Water","Water"
"1","0",0,"Trees","Water"
"3","0",0.333333333333333,"Flooded vegetation","Water"
"4","0",0.00977517106549365,"Crops","Water"
"5","0",0,"Shrub & scrub","Water"
"6","0",0.0137931034482759,"Built area","Water"
"7","0",0.0714285714285714,"Bare ground","Water"
"0","1",0,"Water","Trees"
"1","1",0.520547945205479,"Trees","Trees"
"3","1",0,"Flooded vegetation","Trees"
"4","1",0.00342130987292278,"Crops","Trees"
"5","1",0.25,"Shrub & scrub","Trees"
"6","1",0.00344827586206897,"Built area","Trees"
"7","1",0,"Bare ground","Trees"
"0","3",0,"Water","Flooded vegetation"
"1","3",0,"Trees","Flooded vegetation"
"3","3",0,"Flooded vegetation","Flooded vegetation"
"4","3",0,"Crops","Flooded vegetation"
"5","3",0,"Shrub & scrub","Flooded vegetation"
"6","3",0,"Built area","Flooded vegetation"
"7","3",0,"Bare ground","Flooded vegetation"
"0","4",0.05893536121673,"Water","Crops"
"1","4",0.479452054794521,"Trees","Crops"
"3","4",0.666666666666667,"Flooded vegetation","Crops"
"4","4",0.97702834799609,"Crops","Crops"
"5","4",0.75,"Shrub & scrub","Crops"
"6","4",0.103448275862069,"Built area","Crops"
"7","4",0.75,"Bare ground","Crops"
"0","5",0,"Water","Shrub & scrub"
"1","5",0,"Trees","Shrub & scrub"
"3","5",0,"Flooded vegetation","Shrub & scrub"
"4","5",0,"Crops","Shrub & scrub"
"5","5",0,"Shrub & scrub","Shrub & scrub"
"6","5",0,"Built area","Shrub & scrub"
"7","5",0,"Bare ground","Shrub & scrub"
"0","6",0.00190114068441065,"Water","Built area"
"1","6",0,"Trees","Built area"
"3","6",0,"Flooded vegetation","Built area"
"4","6",0.00977517106549365,"Crops","Built area"
"5","6",0,"Shrub & scrub","Built area"
"6","6",0.879310344827586,"Built area","Built area"
"7","6",0.142857142857143,"Bare ground","Built area"
"0","7",0,"Water","Bare ground"
"1","7",0,"Trees","Bare ground"
"3","7",0,"Flooded vegetation","Bare ground"
"4","7",0,"Crops","Bare ground"
"5","7",0,"Shrub & scrub","Bare ground"
"6","7",0,"Built area","Bare ground"
"7","7",0.0357142857142857,"Bare ground","Bare ground"
