"year","class_id","class_name","area_km2"
2018,0,"Water",5395.2532
2018,1,"Trees",93.7407
2018,2,"Grass",7.4081
2018,3,"Flooded vegetation",88.0187
2018,4,"Crops",2913.6396
2018,5,"Shrub & scrub",47.7474
2018,6,"Built area",852.1447
2018,7,"Bare ground",516.8691
2018,8,"Snow & ice",0.2283
2024,0,"Water",5554.3651
2024,1,"Trees",76.5725
2024,2,"Grass",3.1341
2024,3,"Flooded vegetation",109.3797
2024,4,"Crops",2748.2265
2024,5,"Shrub & scrub",59.6343
2024,6,"Built area",968.8093
2024,7,"Bare ground",392.9484
2024,8,"Snow & ice",1.9799
